DBN,Dist,loc_code,MS,Borough,CSD,total_students,testers_count,perc_tested,total_offers,perc_tested_offered,fof_testers,fof_offers,G_T,HS_Program,Citywide,address,city,state,zip
10X264,10,X264,BRONX ACADEMY FOR SOFTWARE ENGINEERING (BASE) (10X264),Bronx,D10,3,0-5,NA,0-5,NA,1,1,No,No,No,2474 Crotona Ave,Bronx,NY,10458
75Q277,75,Q277,THE RIVERVIEW SCHOOL (75Q277),Queens,D75,6,0-5,NA,0-5,NA,1,1,No,No,No,1-50 51st Ave,Queens,NY,11101
75Q504,75,Q504,HOME INSTRUCTION - QUEEN (75Q504),Queens,D75,3,0-5,NA,0-5,NA,1,1,No,No,No,142-10 Linden Blvd,Queens,NY,11436
75X596,75,X596,P.S. X596 (75X596),Bronx,D75,3,0-5,NA,0-5,NA,1,1,No,No,No,850 Baychester Ave,Bronx,NY,10475
79M973,79,M973,RESTART ACADEMY (79M973),Manhattan,D79,137,0-5,NA,0-5,NA,1,1,No,No,No,448 W 56th St,New York,NY,10019
79X695,79,X695,PASSAGES ACADEMY (79X695),Bronx,D79,3,0-5,NA,0-5,NA,1,1,No,No,No,NA,NA,NY,NA
84K037,84,K037,BEGINNING WITH CHILDREN CHARTER SCHOOL II (84K037),Brooklyn,Charter,49,16,32.7,0-5,NA,0,1,No,No,No,215 Heyward St,Brooklyn,NY,11206
84K333,84,K333,EXPLORE EXCEED CHARTER SCHOOL (84K333),Brooklyn,Charter,53,7,13.2,0-5,NA,0,1,No,No,No,443 St Marks Ave,Brooklyn,NY,11238
84K360,84,K360,LAUNCH EXPEDITIONARY LEARNING CHARTER SCHOOL (84K360),Brooklyn,Charter,97,0-5,NA,0-5,NA,1,1,No,No,No,1580 Dean St,Brooklyn,NY,11213
84K680,84,K680,ACHIEVEMENT FIRST ASPIRE CHARTER SCHOOL (84K680),Brooklyn,Charter,64,29,45.3,0-5,NA,0,1,No,No,No,982 Hegeman Ave,Brooklyn,NY,11208
84K724,84,K724,LEADERSHIP PREP CANARSIE CHARTER SCHOOL (LEADERSHIP PREP CS 4) (84K724),Brooklyn,Charter,52,10,19.2,0-5,NA,0,1,No,No,No,1070 East 104 Street,Brooklyn,NY,11236
84K741,84,K741,SUCCESS ACADEMY CROWN HEIGHTS (BROOKLYN 7) (84K741),Brooklyn,Charter,55,41,74.5,0-5,NA,0,1,No,No,No,330 Crown St,Brooklyn,NY,11225
84K756,84,K756,SUCCESS ACADEMY PROSPECT HEIGHTS (BROOKLYN 6) (84K756),Brooklyn,Charter,48,32,66.7,0-5,NA,0,1,No,No,No,801 Park Pl,Brooklyn,NY,11216
84K757,84,K757,UNITY PREP CHARTER SCHOOL (84K757),Brooklyn,Charter,47,14,29.8,0-5,NA,0,1,No,No,No,432 Monroe St,Brooklyn,NY,11221
84K758,84,K758,BROOKLYN URBAN GARDEN CHARTER SCHOOL (84K758),Brooklyn,Charter,85,23,27.1,0-5,NA,0,1,No,No,No,500 19th St,Brooklyn,NY,11215
84K759,84,K759,CANARSIE ASCEND CHARTER SCHOOL (84K759),Brooklyn,Charter,106,28,26.4,0-5,NA,0,1,No,No,No,353-377 Watkins St,Brooklyn,NY,11212
84K803,84,K803,BROOKLYN LABÃÂ CHARTER SCHOOL (84K803),Brooklyn,Charter,30,8,26.7,0-5,NA,0,1,No,No,No,77 Sands St,Brooklyn,NY,11201
84K807,84,K807,COLLEGIATE ACADEMY FOR MATH AND PERSONAL AWARENESSÃÂ CHARTER SCHOOL (84K807),Brooklyn,Charter,33,0-5,NA,0-5,NA,1,1,No,No,No,1962 Linden Blvd,Brooklyn,NY,11207
84K876,84,K876,ACHIEVEMENT FIRST VOYAGER CHARTER SCHOOL (84K876),Brooklyn,Charter,20,0-5,NA,0-5,NA,1,1,No,No,No,601 Parkside Ave,Brooklyn,NY,11226
84K879,84,K879,BROOKLYN PROSPECT CHARTER SCHOOL DOWNTOWN (84K879),Brooklyn,Charter,84,45,53.6,14,31.1,0,0,No,No,No,80 Willoughby St,Brooklyn,NY,11201
84K911,84,K911,EDMUND W. GORDON BROOKLYN LABORATORY CHARTER SCHOOL (84K911),Brooklyn,Charter,28,13,46.4,0-5,NA,0,1,No,No,No,77 Sands St,Brooklyn,NY,11201
84M065,84,M065,DEMOCRACY PREP ENDURANCE CHARTER SCHOOL (84M065),Manhattan,Charter,36,10,27.8,0-5,NA,0,1,No,No,No,250 West 127 St,New York,NY,10027
84M068,84,M068,KIPP WASHINGTON HEIGHTS MIDDLE SCHOOL (84M068),Manhattan,Charter,28,17,60.7,0-5,NA,0,1,No,No,No,21 Jumel Pl,New York,NY,10032
84M100,84,M100,NEIGHBORHOOD CHARTER SCHOOL OF HARLEM (84M100),Manhattan,Charter,53,25,47.2,0-5,NA,0,1,No,No,No,691 St Nicholas Ave,New York,NY,10030
