DBN,Dist,loc_code,MS,Borough,CSD,total_students,testers_count,perc_tested,total_offers,perc_tested_offered,fof_testers,fof_offers,G_T,HS_Program,Citywide
01M034,1,M034,P.S. 034 FRANKLIN D. ROOSEVELT (01M034),Manhattan,D1,44,0-5,NA,0-5,NA,1,1,No,No,No
01M140,1,M140,P.S. 140 NATHAN STRAUS (01M140),Manhattan,D1,56,9,16.1,0-5,NA,0,1,No,No,No
01M184,1,M184,P.S. 184M SHUANG WEN (01M184),Manhattan,D1,112,79,70.5,29,36.7,0,0,No,No,No
01M188,1,M188,P.S. 188 THE ISLAND SCHOOL (01M188),Manhattan,D1,49,0-5,NA,0-5,NA,1,1,No,No,No
01M332,1,M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL (01M332),Manhattan,D1,70,10,14.3,0-5,NA,0,1,No,No,No
01M378,1,M378,SCHOOL FOR GLOBAL LEADERS (01M378),Manhattan,D1,61,12,19.7,0-5,NA,0,1,No,No,No
01M450,1,M450,EAST SIDE COMMUNITY SCHOOL (01M450),Manhattan,D1,104,16,15.4,0-5,NA,0,1,No,Yes,No
01M539,1,M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL (01M539)",Manhattan,D1,135,116,85.9,76,65.5,0,0,Yes,Yes,Yes
01M839,1,M839,TOMPKINS SQUARE MIDDLE SCHOOL (01M839),Manhattan,D1,113,33,29.2,8,24.2,0,0,No,No,No
02M104,2,M104,J.H.S. 104 SIMON BARUCH (02M104),Manhattan,D2,344,196,57,45,23,0,0,No,No,No
02M114,2,M114,EAST SIDE MIDDLE SCHOOL (02M114),Manhattan,D2,137,115,83.9,73,63.5,0,0,No,Yes,No
02M126,2,M126,P.S. 126 JACOB AUGUST RIIS (02M126),Manhattan,D2,110,65,59.1,15,23.1,0,0,No,No,No
02M131,2,M131,M.S. 131 (02M131),Manhattan,D2,110,40,36.4,0-5,NA,0,1,No,No,No
02M167,2,M167,J.H.S. 167 ROBERT F. WAGNER (02M167),Manhattan,D2,420,227,54,73,32.2,0,0,No,No,No
02M177,2,M177,YORKVILLE EAST MIDDLE SCHOOL (02M177),Manhattan,D2,73,37,50.7,0-5,NA,0,1,No,No,No
02M217,2,M217,P.S./I.S. 217 ROOSEVELT ISLAND (02M217),Manhattan,D2,26,9,34.6,0-5,NA,0,1,No,No,No
