CSD,dist_num,district_student_total,tester_count_high,tester_count_low,total_offered_high,total_offered_low,total_fof_testers,total_fof_offers,avg_perc_tested,avg_perc_offered
Charter,84,7018,2464,2422,468,81,14,129,34.5,3.3
D1,1,744,281,275,131,113,2,6,37,41.1
D10,10,3633,808,796,101,26,4,25,21.9,3.3
D11,11,3017,859,859,76,25,0,17,28.5,2.9
D12,12,1448,231,225,45,0,2,15,15.5,0
D13,13,627,181,175,35,8,2,9,27.9,4.6
D14,14,1175,340,334,56,29,2,9,28.4,8.7
D15,15,2161,835,835,191,179,0,4,38.6,21.4
D16,16,297,96,90,18,0,2,6,30.3,0
D17,17,1502,310,298,48,0,4,16,19.8,0
D18,18,1006,248,245,35,11,1,8,24.4,4.5
D19,19,1555,203,185,48,0,6,16,11.9,0
D2,2,2616,1381,1372,518,485,3,11,52.4,35.3
D20,20,4053,1837,1837,540,531,0,3,45.3,28.9
D21,21,3105,1282,1279,334,298,1,12,41.2,23.3
D22,22,1944,562,562,81,60,0,7,28.9,10.7
D23,23,778,112,94,39,0,6,13,12.1,0
D24,24,4201,1098,1098,169,145,0,8,26.1,13.2
D25,25,2847,1172,1172,314,293,0,7,41.2,25
D26,26,2124,1101,1101,335,329,0,2,51.8,29.9
D27,27,3485,840,822,112,52,6,20,23.6,6.3
D28,28,2491,798,798,172,148,0,8,32,18.5
D29,29,2154,399,399,51,0,0,17,18.5,0
D3,3,1380,620,611,257,218,3,13,44.3,35.7
D30,30,3128,1168,1162,222,201,2,7,37.1,17.3
D31,31,4068,1023,1023,154,130,0,8,25.1,12.7
D32,32,1022,253,247,35,14,2,7,24.2,5.7
D4,4,935,200,185,65,26,5,13,19.8,14.1
D5,5,674,97,85,45,15,4,10,12.6,17.6
D6,6,1506,289,280,60,6,3,18,18.6,2.1
D7,7,1041,109,88,39,0,7,13,8.5,0
D75,75,420,138,0,138,0,46,46,0,NA
D79,79,140,6,0,6,0,2,2,0,NA
D8,8,1942,452,449,62,17,1,15,23.1,3.8
D9,9,2343,304,283,75,0,7,25,12.1,0
