ATS_CODE,BORO,BORONUM,LOC_CODE,ADDRESS,STATE_CODE,ZIP,City,DBN,Dist,MS,Borough,CSD,Total Stud,Students T,Percent of,Total St_1,Percent _1,Fewer than,Fewer th_1,Gifted and,HS Program,Citywide,result_num,status,formatted_,place_id,location_t,latlong
27Q202      ,Q,4,Q202,138-30 LAFAYETTE STREET,NY,"11417",QUEENS,27Q202,"27",J.H.S. 202 ROBERT H. GODDARD (27Q202),Queens,D27,"368","95","25.8","8","8.4","0","0",No,No,No,,,,,,
27Q183      ,Q,4,Q183,2-45 BEACH  79 STREET,NY,"11693",QUEENS,27Q183,"27",P.S. 183 DR. RICHARD R. GREEN (27Q183),Queens,D27,"52","22","42.3",0-5,NA,"0","1",No,No,No,,,,,,
26Q178      ,Q,4,Q178,189-10 RADNOR ROAD,NY,"11423",QUEENS,26Q178,"26",P.S./ IS 178 HOLLISWOOD (26Q178),Queens,D26,"54","14","25.9",0-5,NA,"0","1",No,No,No,,,,,,
75Q177      ,Q,4,Q177,56-37 188 STREET,NY,"11365",QUEENS,75Q177,"75",P.S. Q177 (75Q177),Queens,D75,"3",0-5,NA,0-5,NA,"1","1",No,No,No,,,,,,
29Q192      ,Q,4,Q192,109-89 204 STREET,NY,"11412",QUEENS,29Q192,"29",I.S. 192 THE LINDEN (29Q192),Queens,D29,"130","17","13.1",0-5,NA,"0","1",No,No,No,,,,,,
25Q189      ,Q,4,Q189,144-80 BARCLAY AVENUE,NY,"11355",QUEENS,25Q189,"25",J.H.S. 189 DANIEL CARTER BEARD (25Q189),Queens,D25,"232","66","28.4","9","13.6","0","0",No,No,No,,,,,,
28Q190      ,Q,4,Q190,68-17 AUSTIN STREET,NY,"11375",QUEENS,28Q190,"28",J.H.S. 190 RUSSELL SAGE (28Q190),Queens,D28,"370","143","38.6","44","30.8","0","0",No,No,No,,,,,,
25Q185      ,Q,4,Q185,147-26 25 DRIVE,NY,"11354",QUEENS,25Q185,"25",J.H.S. 185 EDWARD BLEEKER (25Q185),Queens,D25,"478","248","51.9","80","32.3","0","0",No,No,No,,,,,,
28Q157      ,Q,4,Q157,63-55 102ND STREET,NY,"11374",QUEENS,28Q157,"28",J.H.S. 157 STEPHEN A. HALSEY (28Q157),Queens,D28,"544","205","37.7","60","29.3","0","0",No,No,No,,,,,,
26Q158      ,Q,4,Q158,46-35 OCEANIA STREET,NY,"11361",QUEENS,26Q158,"26",M.S. 158 MARIE CURIE (26Q158),Queens,D26,"385","200","51.9","65","32.5","0","0",No,No,No,,,,,,
26Q172      ,Q,4,Q172,81-14 257 STREET,NY,"11004",QUEENS,26Q172,"26",IRWIN ALTMAN MIDDLE SCHOOL 172 (26Q172),Queens,D26,"336","155","46.1","21","13.5","0","0",No,No,No,,,,,,
25Q164      ,Q,4,Q164,138-01 77 AVENUE,NY,"11367",QUEENS,25Q164,"25",P.S. 164 QUEENS VALLEY (25Q164),Queens,D25,"76","26","34.2",0-5,NA,"0","1",No,No,No,,,,,,
30Q145      ,Q,4,Q145,33-34 80 STREET,NY,"11372",QUEENS,30Q145,"30",I.S. 145 JOSEPH PULITZER (30Q145),Queens,D30,"585","159","27.2","7","4.4","0","0",No,No,No,,,,,,
27Q146      ,Q,4,Q146,98-01 159 AVENUE,NY,"11414",QUEENS,27Q146,"27",P.S. 146 HOWARD BEACH (27Q146),Queens,D27,"60","8","13.3",0-5,NA,"0","1",No,No,No,,,,,,
30Q141      ,Q,4,Q141,37-11 21 AVENUE,NY,"11105",QUEENS,30Q141,"30",I.S. 141 THE STEINWAY (30Q141),Queens,D30,"397","164","41.3","18","11","0","0",No,No,No,,,,,,
27Q137      ,Q,4,Q137,109-15 98 STREET,NY,"11417",QUEENS,27Q137,"27",M.S. 137 AMERICA'S SCHOOL OF HEROES (27Q137),Queens,D27,"620","164","26.5",0-5,NA,"0","1",No,No,No,,,,,,
29Q138      ,Q,4,Q138,251-11 WELLER AVENUE,NY,"11422",QUEENS,29Q138,"29",P.S./M.S. 138 SUNRISE (29Q138),Queens,D29,"95","17","17.9",0-5,NA,"0","1",No,No,No,,,,,,
29Q147      ,Q,4,Q147,218-01 116 AVENUE,NY,"11411",QUEENS,29Q147,"29",P.S./M.S. 147 RONALD MCNAIR (29Q147),Queens,D29,"87","7","8",0-5,NA,"0","1",No,No,No,,,,,,
30Q127      ,Q,4,Q127,98-01 25 AVENUE,NY,"11369",QUEENS,30Q127,"30",P.S. 127 AEROSPACE SCIENCE MAGNET SCHOOL (30Q127),Queens,D30,"159","27","17",0-5,NA,"0","1",No,No,No,,,,,,
